name,price,store,url
Vertex Impress Luck 3G Черный,2 490 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/vertex/smartfon_vertex_impress_luck_3g_chernyy_vrx_lck_blk2020-1397564.html
Xiaomi Redmi 9A 2/32GB Темно-серый,8 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/xiaomi/smartfon_xiaomi_redmi_9a_2_32gb_temno_seryy_x29236-2243422.html
Xiaomi Redmi 9 4/64GB Серый,13 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/xiaomi/smartfon_xiaomi_redmi_9_4_64gb_seryy_x28415-2216066.html
Xiaomi Redmi 9A 2/32GB Синий,8 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/xiaomi/smartfon_xiaomi_redmi_9a_2_32gb_siniy_x29237-2243424.html
Xiaomi Redmi Note 10S 6/64GB (NFC) Серый,18 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/xiaomi/smartfon_xiaomi_redmi_note_10s_6_64gb_nfc_seryy_x33447-2685615.html
Xiaomi Redmi 9A 2/32GB Зеленый,8 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/xiaomi/smartfon_xiaomi_redmi_9a_2_32gb_zelenyy_x29238-2245238.html
Xiaomi Redmi Note 10S 6/128GB (NFC) Синий,20 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/xiaomi/smartfon_xiaomi_redmi_note_10s_6_128gb_nfc_siniy_x33449-2685611.html
Xiaomi Redmi Note 10S 6/64GB (NFC) Синий,18 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/xiaomi/smartfon_xiaomi_redmi_note_10s_6_64gb_nfc_siniy_x33448-2685612.html
Samsung Galaxy A12 (2021) 32GB Черный,10 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/samsung/smartfon_samsung_galaxy_a12_2021_32gb_chernyy_sm_a127fzkuser-2750741.html
Samsung Galaxy A12 (2021) 64GB Черный,12 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/samsung/smartfon_samsung_galaxy_a12_2021_64gb_chernyy_sm_a127fzkvser-2774093.html
Xiaomi Redmi Note 10S 6/128GB (NFC) Серый,20 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/xiaomi/smartfon_xiaomi_redmi_note_10s_6_128gb_nfc_seryy_x33445-2685617.html
Xiaomi Redmi Note 10S 6/64GB (NFC) Белый,18 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/xiaomi/smartfon_xiaomi_redmi_note_10s_6_64gb_nfc_belyy_x33444-2685620.html
POCO X3 Pro 6/128GB Синий,21 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/poco/smartfon_poco_x3_pro_6_128gb_siniy_x32488-2601361.html
Samsung Galaxy A32 128GB Фиолетовый,21 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/samsung/smartfon_samsung_galaxy_a32_128gb_fioletovyy_sm_a325flvgser-2535367.html
POCO X3 Pro 6/128GB Бронзовый,21 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/poco/smartfon_poco_x3_pro_6_128gb_bronzovyy_x32486-2607357.html
Samsung Galaxy A12 (2021) 64GB Синий,12 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/samsung/smartfon_samsung_galaxy_a12_2021_64gb_siniy_sm_a127fzbvser-2774096.html
Xiaomi Redmi Note 10 Pro 8/128GB Синий,28 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/xiaomi/smartfon_xiaomi_redmi_note_10_pro_8_128gb_siniy_x33192-2540365.html
Xiaomi Redmi Note 10S 6/128GB (NFC) Белый,20 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/xiaomi/smartfon_xiaomi_redmi_note_10s_6_128gb_nfc_belyy_x33446-2685619.html
Xiaomi Redmi 9C 4/128GB Серый,12 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/xiaomi/smartfon_xiaomi_redmi_9c_4_128gb_seryy_x36160-2837342.html
Xiaomi Redmi Note 10 Pro 8/128GB Серый,27 490 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/xiaomi/smartfon_xiaomi_redmi_note_10_pro_8_128gb_seryy_x33193-2540366.html
POCO X3 Pro 8/256GB Бронзовый,24 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/poco/smartfon_poco_x3_pro_8_256gb_bronzovyy_x32484-2607359.html
Samsung Galaxy A12 (2021) 32GB Синий,10 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/samsung/smartfon_samsung_galaxy_a12_2021_32gb_siniy_sm_a127fzbuser-2774095.html
POCO X3 Pro 8/256GB Синий,24 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/poco/smartfon_poco_x3_pro_8_256gb_siniy_x32485-2601359.html
POCO X3 NFC 6/128GB Синий,20 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/poco/smartfon_poco_x3_nfc_6_128gb_siniy_x29602-2318110.html
Samsung Galaxy A12 (2021) 32GB Красный,10 990 ₽,Online Trade,https://www.onlinetrade.ru/catalogue/smartfony-c13/samsung/smartfon_samsung_galaxy_a12_2021_32gb_krasnyy_sm_a127fzruser-2774098.html
